 Time, x,y,z,q_x,q_y_,q_z,q_w,x_dot,y_dot,z_dot 
3490.33,490371,4416170,1642.72,-0.00538573,-4.85E-05,0.00899911,0.999945,0.00108507,0,0
3490.33,490371,4416170,1642.73,-0.00545391,-4.91E-05,0.00899907,0.999945,0,0,0
3490.34,490371,4416170,1642.73,-0.00538573,-4.85E-05,0.00899911,0.999945,0,0,0
3490.34,490371,4416170,1642.73,-0.00538573,-4.85E-05,0.00899911,0.999945,0,0,0
3490.34,490371,4416170,1642.73,-0.0054539,-4.95E-05,0.0090673,0.999944,0,0,0
3490.44,490371,4416170,1642.73,-0.0054539,-4.95E-05,0.0090673,0.999944,0,0,0
3490.55,490371,4416170,1642.73,-0.0054539,-4.95E-05,0.0090673,0.999944,0,0,0
3490.64,490371,4416170,1642.73,-0.0054539,-4.95E-05,0.0090673,0.999944,0,0,0
3490.68,490371,4416170,1642.73,-0.0054539,-4.95E-05,0.0090673,0.999944,0,0,0
3490.75,490371,4416170,1642.73,-0.0054539,-4.95E-05,0.0090673,0.999944,0,0,0
3490.84,490371,4416170,1642.73,-0.0054539,-4.95E-05,0.0090673,0.999944,0,0,0
3490.95,490371,4416170,1642.73,-0.00538573,-4.88E-05,0.00906726,0.999944,0,0,0
3491.04,490371,4416170,1642.73,-0.00538573,-4.88E-05,0.00906726,0.999944,0,0,0
3491.14,490371,4416170,1642.73,-0.00538573,-4.88E-05,0.00906726,0.999944,0.00108507,0,0
3491.19,490371,4416170,1642.73,-0.00538573,-4.88E-05,0.00906726,0.999944,0.00108507,0,0
3491.24,490371,4416170,1642.73,-0.00538573,-4.88E-05,0.00906726,0.999944,0.00108507,0,0
3491.34,490371,4416170,1642.73,-0.00538573,-4.88E-05,0.00906726,0.999944,0,0,0
3491.44,490371,4416170,1642.73,-0.00531756,-4.82E-05,0.00906726,0.999945,0.00108507,0,0
3491.55,490371,4416170,1642.73,-0.00538573,-4.92E-05,0.00913541,0.999944,0.00108507,0,0
3491.64,490371,4416170,1642.73,-0.00531755,-0.000048581,0.00913546,0.999944,0.00108507,0,0
3491.7,490371,4416170,1642.73,-0.00524938,-4.80E-05,0.00913546,0.999944,0.00108507,0,0
3491.74,490371,4416170,1642.73,-0.00524938,-4.80E-05,0.00913546,0.999944,0.00108507,0,0
3491.84,490371,4416170,1642.73,-0.00524938,-4.80E-05,0.00913546,0.999944,0.00217014,0,0
3491.94,490371,4416170,1642.73,-0.00524938,-4.80E-05,0.00913546,0.999944,0.00217014,0,0
3492.03,490371,4416170,1642.73,-0.00524938,-4.83E-05,0.00920365,0.999944,0.00217014,0,0
3492.15,490371,4416170,1642.73,-0.00524938,-4.83E-05,0.00920365,0.999944,0.00108507,0,0
3492.21,490371,4416170,1642.73,-0.00524938,-4.83E-05,0.00920365,0.999944,0.00108507,0,0
3492.24,490371,4416170,1642.73,-0.00524938,-4.80E-05,0.00913546,0.999944,0.00108507,0,0
3492.33,490371,4416170,1642.73,-0.00524938,-4.80E-05,0.00913546,0.999944,0.00108507,0,0
3492.44,490371,4416170,1642.73,-0.00524938,-4.83E-05,0.00920365,0.999944,0.00108507,0,0
3492.54,490371,4416170,1642.73,-0.00524938,-4.83E-05,0.00920365,0.999944,0.00108507,0,0
3492.65,490371,4416170,1642.73,-0.00524938,-4.83E-05,0.00920365,0.999944,0,0,0
3492.69,490371,4416170,1642.73,-0.00524937,-0.000048674,0.0092718,0.999943,0,0,0
3492.74,490371,4416170,1642.73,-0.00531755,-4.93E-05,0.00927176,0.999943,0,0,0
3492.85,490371,4416170,1642.73,-0.00531755,-4.93E-05,0.00927176,0.999943,0,0,0
3492.94,490371,4416170,1642.73,-0.00531754,-4.97E-05,0.00933999,0.999942,0,0,0
3493.07,490371,4416170,1642.73,-0.00524937,-4.90E-05,0.00933995,0.999943,0,0,0
3493.14,490371,4416170,1642.73,-0.00524937,-4.90E-05,0.00933995,0.999943,0,0,0
3493.2,490371,4416170,1642.73,-0.00524937,-4.90E-05,0.00933995,0.999943,0,0,0
3493.27,490371,4416170,1642.73,-0.00531754,-5.00E-05,0.00940815,0.999942,0,0,0
3493.34,490371,4416170,1642.73,-0.00524937,-4.94E-05,0.00940815,0.999942,0.00108507,0,0
3493.55,490371,4416170,1642.73,-0.00524937,-4.90E-05,0.00933995,0.999943,0,0,0
3493.67,490371,4416170,1642.73,-0.00524937,-4.94E-05,0.00940815,0.999942,0,0,0
3493.75,490371,4416170,1642.73,-0.00524937,-4.94E-05,0.00940815,0.999942,0.00108507,0,0
3493.87,490371,4416170,1642.73,-0.00524937,-4.94E-05,0.00940815,0.999942,0.00108507,0,0
3493.95,490371,4416170,1642.73,-0.00524937,-4.90E-05,0.00933995,0.999943,0,0,0
3494.06,490371,4416170,1642.73,-0.0051812,-4.84E-05,0.00933995,0.999943,0.0173611,0,0
