Time, x,y,z,q_x,q_y_,q_z,q_w,x_dot,y_dot,z_dot
292.213,947459,533818,1660.78,0.00156618,0.00692124,0.996941,0.0778383,-0.00399848,0,0
292.233,947459,533818,1660.78,0.0011526,0.0068852,0.996947,0.0777733,0.00600152,0,0
292.253,947459,533818,1660.78,0.0011526,0.0068852,0.996947,0.0777733,-0.0189985,0,0
292.273,947459,533818,1660.78,0.0011526,0.0068852,0.996947,0.0777733,-0.00699848,0,0
292.293,947459,533818,1660.78,0.0011526,0.0068852,0.996947,0.0777733,0.00300152,0,0
292.313,947459,533818,1660.78,0.0011526,0.0068852,0.996947,0.0777733,0.00300152,0,0
292.333,947459,533818,1660.78,0.00154614,0.00671829,0.99699,0.0772268,0.00300152,0,0
292.357,947459,533818,1660.78,0.00154614,0.00671829,0.99699,0.0772268,0.00300152,0,0
292.373,947459,533818,1660.78,0.00154614,0.00671829,0.99699,0.0772268,0.00200152,0,0
292.393,947459,533818,1660.78,0.00154614,0.00671829,0.99699,0.0772268,0.0130015,0,0
292.413,947459,533818,1660.78,0.00154614,0.00671829,0.99699,0.0772268,0.0150015,0,0
292.433,947459,533818,1660.78,0.00107886,0.00682261,0.996952,0.0777058,0.00200152,0,0
292.454,947459,533818,1660.78,0.00107886,0.00682261,0.996952,0.0777058,0.00500152,0,0
292.473,947459,533818,1660.78,0.00107886,0.00682261,0.996952,0.0777058,0.0150015,0,0
292.493,947459,533818,1660.78,0.00107886,0.00682261,0.996952,0.0777058,-0.00099848,0,0
292.513,947459,533818,1660.78,0.00107886,0.00682261,0.996952,0.0777058,0.0170015,0,0
292.533,947459,533818,1660.77,0.00101807,0.0068956,0.996931,0.0779781,-0.00599848,0,0
292.556,947459,533818,1660.77,0.00101807,0.0068956,0.996931,0.0779781,0.0130015,0,0
292.573,947459,533818,1660.77,0.00101807,0.0068956,0.996931,0.0779781,-0.00799848,0,0
292.593,947459,533818,1660.77,0.00101807,0.0068956,0.996931,0.0779781,0.0120015,0,0
292.613,947459,533818,1660.77,0.00101807,0.0068956,0.996931,0.0779781,-0.0109985,0,0
292.633,947459,533818,1660.77,0.00257069,0.00663737,0.99693,0.0779674,0.00200152,0,0
292.653,947459,533818,1660.77,0.00257069,0.00663737,0.99693,0.0779674,0.00400152,0,0
292.673,947459,533818,1660.77,0.00257069,0.00663737,0.99693,0.0779674,0.00400152,0,0
292.693,947459,533818,1660.77,0.00257069,0.00663737,0.99693,0.0779674,0.00300152,0,0
292.713,947459,533818,1660.77,0.00257069,0.00663737,0.99693,0.0779674,0.00300152,0,0
292.733,947459,533818,1660.78,0.00257069,0.00663737,0.99693,0.0779674,0.00400152,0,0
292.758,947459,533818,1660.78,0.00257069,0.00663737,0.99693,0.0779674,0.00400152,0,0
292.773,947459,533818,1660.78,0.00257069,0.00663737,0.99693,0.0779674,0.00400152,0,0
292.793,947459,533818,1660.78,0.00257069,0.00663737,0.99693,0.0779674,0.00300152,0,0
292.815,947459,533818,1660.78,0.00257069,0.00663737,0.99693,0.0779674,0.00300152,0,0
292.835,947459,533818,1660.78,0.00257069,0.00663737,0.99693,0.0779674,0.00300152,0,0
292.853,947459,533818,1660.78,0.00257069,0.00663737,0.99693,0.0779674,0.00300152,0,0
292.873,947459,533818,1660.78,0.00257069,0.00663737,0.99693,0.0779674,0.00300152,0,0
292.906,947459,533818,1660.78,0.00257069,0.00663737,0.99693,0.0779674,0.00400152,0,0
292.914,947459,533818,1660.78,0.00257069,0.00663737,0.99693,0.0779674,0.00400152,0,0
292.933,947459,533818,1660.78,0.00257114,0.00663719,0.996925,0.0780354,0.00300152,0,0
292.959,947459,533818,1660.78,0.00257114,0.00663719,0.996925,0.0780354,0.00300152,0,0
292.973,947459,533818,1660.78,0.00257114,0.00663719,0.996925,0.0780354,0.00200152,0,0
292.993,947459,533818,1660.78,0.00257114,0.00663719,0.996925,0.0780354,0.00200152,0,0
293.013,947459,533818,1660.78,0.00257114,0.00663719,0.996925,0.0780354,0.00300152,0,0
293.034,947459,533818,1660.78,0.00257114,0.00663719,0.996925,0.0780354,0.00300152,0,0
