timestep,duration,speed,x_velo_mf,y_velo_mf,x_pos_sf,y_pos_sf,x_pos_nh,y_pos_nh,heading_mf,heading_sf,x_pos_odo,y_pos_odo,heading_odo
295.088989,0.098999,0.000468,0.000150,0.000443,0.000015,0.000044,0.000000,0.000000,1.245014,1.245014,947460.000000,533818.000000,0.052914
295.187988,0.101013,0.000603,0.000132,0.000588,0.000013,0.000059,0.000015,-0.000044,1.350749,1.350749,947460.000000,533817.000000,0.053055
295.289001,0.100006,0.000980,0.000457,-0.000867,0.000046,-0.000087,0.000028,-0.000103,5.197394,5.197394,947460.000000,533817.000000,0.053207
295.389008,0.098999,1.088203,1.086809,0.055074,0.107593,0.005452,0.000074,-0.000017,0.050632,0.050632,947460.000000,533817.000000,0.053329
295.488007,0.100983,1.260101,1.260082,-0.007002,0.127246,-0.000707,0.107667,-0.005469,6.277629,6.277629,947460.000000,533817.000000,0.053411
295.588989,0.100006,1.327621,1.327611,0.005234,0.132769,0.000523,0.234913,-0.004762,0.003942,0.003942,947460.000000,533817.000000,0.053475
295.688995,0.100006,1.375454,1.370077,0.121507,0.137016,0.012151,0.367682,-0.005285,0.088455,0.088455,947460.000000,533817.000000,0.053580
295.789001,0.100006,1.420383,1.408424,0.183927,0.140851,0.018394,0.504698,-0.017437,0.129855,0.129855,947461.000000,533817.000000,0.053791
295.889008,0.098999,1.424096,1.420050,0.107275,0.140584,0.010620,0.645550,-0.035831,0.075400,0.075400,947461.000000,533817.000000,0.054042
295.988007,0.100983,1.432787,1.432678,0.017609,0.144676,0.001778,0.786133,-0.046451,0.012290,0.012290,947461.000000,533817.000000,0.054214
296.088989,0.098999,1.440151,1.438851,0.061170,0.142445,0.006056,0.930809,-0.048229,0.042488,0.042488,947461.000000,533817.000000,0.054327
296.187988,0.101013,1.474796,1.469660,0.122981,0.148455,0.012423,1.073254,-0.054285,0.083485,0.083485,947461.000000,533817.000000,0.054443
296.289001,0.098999,1.398190,1.398073,0.018075,0.138408,0.001789,1.221709,-0.066707,0.012928,0.012928,947461.000000,533817.000000,0.054592
296.388000,0.100006,1.420200,1.420133,-0.013852,0.142022,-0.001385,1.360116,-0.068497,6.273432,6.273432,947461.000000,533817.000000,0.054735
296.488007,0.100006,1.348387,1.348310,-0.014358,0.134839,-0.001436,1.502138,-0.067111,6.272537,6.272537,947462.000000,533817.000000,-0.054822
296.588013,0.100983,1.405075,1.404708,0.032113,0.141851,0.003243,1.636978,-0.065676,0.022857,0.022857,947462.000000,533817.000000,-0.054723
296.688995,0.098999,1.398828,1.394643,-0.108120,0.138068,-0.010704,1.778829,-0.068918,6.205815,6.205815,947462.000000,533817.000000,-0.054624
296.787994,0.100006,1.431459,1.431450,0.005157,0.143154,0.000516,1.916897,-0.058215,0.003603,0.003603,947462.000000,533817.000000,-0.054488
296.888000,0.100006,1.447837,1.447836,-0.001256,0.144792,-0.000126,2.060051,-0.058730,6.282318,6.282318,947462.000000,533817.000000,-0.054334
296.988007,0.100006,1.539966,1.538651,-0.063639,0.153874,-0.006364,2.204843,-0.058605,6.241848,6.241848,947462.000000,533817.000000,-0.054176
297.088013,0.099976,1.498039,1.492168,-0.132490,0.149180,-0.013246,2.358717,-0.052240,6.194627,6.194627,947463.000000,533817.000000,-0.054050
297.187988,0.100006,1.647664,1.633270,-0.217313,0.163337,-0.021733,2.507898,-0.038995,6.150908,6.150908,947463.000000,533817.000000,-0.053946
297.287994,0.101013,1.754478,1.749357,-0.133958,0.176708,-0.013532,2.671235,-0.017262,6.206759,6.206759,947463.000000,533817.000000,-0.053815
297.389008,0.098999,1.733484,1.732664,0.053326,0.171532,0.005279,2.847943,-0.003731,0.030767,0.030767,947463.000000,533817.000000,-0.053667
297.488007,0.100006,1.924303,1.924293,-0.006146,0.192441,-0.000615,3.019475,-0.009010,6.279992,6.279992,947463.000000,533817.000000,-0.053435
297.588013,0.099976,1.860911,1.860767,0.023153,0.186031,0.002315,3.211916,-0.008395,0.012442,0.012442,947464.000000,533817.000000,-0.053215
297.687988,0.101013,1.898947,1.889591,-0.188277,0.190874,-0.019019,3.397947,-0.010710,6.183874,6.183874,947464.000000,533817.000000,-0.053061
297.789001,0.098999,1.950574,1.950504,0.016522,0.193098,0.001636,3.588821,0.008309,0.008470,0.008470,947464.000000,533817.000000,-0.052889
297.888000,0.100006,1.977456,1.968547,-0.187497,0.196867,-0.018751,3.781919,0.006673,6.188225,6.188225,947464.000000,533817.000000,-0.052666
297.988007,0.100983,1.949015,1.946837,-0.092116,0.196597,-0.009302,3.978786,0.025424,6.235905,6.235905,947464.000000,533817.000000,-0.052432
298.088989,0.098999,2.018296,1.991795,-0.325993,0.197186,-0.032273,4.175383,0.034726,6.120956,6.120956,947465.000000,533817.000000,-0.052270
298.187988,0.101013,2.039714,2.035568,-0.129993,0.205619,-0.013131,4.372569,0.066999,6.219411,6.219411,947465.000000,533817.000000,-0.052117
298.289001,0.098999,1.894233,1.888973,-0.141071,0.187006,-0.013966,4.578188,0.080130,6.208642,6.208642,947465.000000,533817.000000,-0.051922
298.388000,0.100006,2.119730,2.103670,-0.260443,0.210380,-0.026046,4.765194,0.094096,6.160008,6.160008,947465.000000,533817.000000,-0.051705
298.488007,0.100983,1.981966,1.972020,-0.198317,0.199140,-0.020027,4.975574,0.120142,6.182957,6.182957,947465.000000,533817.000000,-0.051496
298.588989,0.098999,2.078242,2.075478,-0.107161,0.205470,-0.010609,5.174714,0.140168,6.231599,6.231599,947466.000000,533817.000000,-0.051245
298.687988,0.100006,2.076262,2.059473,-0.263500,0.205960,-0.026352,5.380184,0.150777,6.155931,6.155931,947466.000000,533817.000000,-0.050979
298.787994,0.100006,2.030568,2.027146,-0.117835,0.202727,-0.011784,5.586143,0.177129,6.225122,6.225122,947466.000000,533817.000000,-0.050745
298.888000,0.100006,2.078923,2.070372,-0.188367,0.207050,-0.018838,5.788870,0.188913,6.192453,6.192453,947466.000000,533817.000000,-0.050539
298.988007,0.100006,2.062695,2.060078,-0.103867,0.206020,-0.010387,5.995920,0.207751,6.232809,6.232809,947467.000000,533817.000000,-0.050320
299.088013,0.099976,2.115603,2.103878,-0.222426,0.210336,-0.022237,6.201941,0.218138,6.177855,6.177855,947467.000000,533817.000000,-0.050084
299.187988,0.100006,2.082118,2.063953,-0.274428,0.206408,-0.027445,6.412277,0.240375,6.150998,6.150998,947467.000000,533817.000000,-0.049875
299.287994,0.100006,2.108199,2.093467,-0.248798,0.209359,-0.024881,6.618685,0.267820,6.164896,6.164896,947467.000000,533817.000000,-0.049692
299.388000,0.100006,2.054209,2.044472,-0.199766,0.204460,-0.019978,6.828044,0.292701,6.185784,6.185784,947467.000000,533817.000000,-0.049485
299.488007,0.100983,2.008792,2.003892,-0.140214,0.202358,-0.014159,7.032504,0.312679,6.213328,6.213328,947468.000000,533817.000000,-0.049250
299.588989,0.098999,2.154809,2.150610,-0.134448,0.212908,-0.013310,7.234862,0.326838,6.220750,6.220750,947468.000000,533818.000000,-0.049037
299.687988,0.100006,2.034586,2.032743,-0.086592,0.203287,-0.008660,7.447771,0.340148,6.240613,6.240613,947468.000000,533818.000000,-0.048793
299.787994,0.105011,1.996806,1.995640,-0.068249,0.209564,-0.007167,7.651057,0.348808,6.249000,6.249000,947468.000000,533818.000000,-0.048552
299.893005,0.095001,1.996322,1.994452,0.086392,0.189475,0.008207,7.860621,0.355975,0.043289,0.043289,947468.000000,533818.000000,-0.048312
299.988007,0.100006,1.999933,1.988764,0.211063,0.198889,0.021108,8.050097,0.347767,0.105732,0.105732,947469.000000,533818.000000,-0.048141
300.088013,0.099976,2.060848,2.059164,-0.083307,0.205866,-0.008329,8.248985,0.326660,6.242751,6.242751,947469.000000,533818.000000,-0.047983
300.187988,0.100006,2.055828,2.050976,0.141168,0.205110,0.014118,8.454851,0.334989,0.068721,0.068721,947469.000000,533818.000000,-0.047806
300.287994,0.100006,2.111708,2.111356,-0.038568,0.211148,-0.003857,8.659962,0.320871,6.264920,6.264920,947469.000000,533818.000000,-0.047626
300.388000,0.101013,2.034063,2.014049,0.284643,0.203445,0.028753,8.871110,0.324728,0.140399,0.140399,947469.000000,533818.000000,-0.047469
300.489014,0.099976,2.188016,2.182090,-0.160928,0.218156,-0.016089,9.074555,0.295975,6.209569,6.209569,947470.000000,533818.000000,-0.047305
300.588989,0.100006,1.988974,1.984531,0.132875,0.198465,0.013288,9.292711,0.312064,0.066856,0.066856,947470.000000,533818.000000,-0.047175
300.688995,0.098999,2.086544,2.086403,0.024276,0.206552,0.002403,9.491177,0.298776,0.011635,0.011635,947470.000000,533818.000000,-0.047097
300.787994,0.101013,2.092133,2.082213,0.203493,0.210331,0.020555,9.697728,0.296372,0.097420,0.097420,947470.000000,533818.000000,-0.047012
300.889008,0.098999,2.120546,2.087631,0.372174,0.206673,0.036845,9.908059,0.275817,0.176422,0.176422,947471.000000,533818.000000,-0.046847
300.988007,0.100006,2.055017,2.029311,0.324027,0.202943,0.032405,10.114733,0.238972,0.158337,0.158337,947471.000000,533819.000000,-0.046793
301.088013,0.099976,2.027003,1.979501,0.436250,0.197902,0.043614,10.317677,0.206567,0.216917,0.216917,947471.000000,533819.000000,-0.046778
301.187988,0.101013,2.059533,2.045020,0.244065,0.206574,0.024654,10.515578,0.162953,0.118784,0.118784,947471.000000,533819.000000,-0.046665
301.289001,0.098999,1.981852,1.962313,0.277605,0.194267,0.027483,10.722153,0.138299,0.140536,0.140536,947471.000000,533819.000000,-0.046586
301.388000,0.100006,1.987771,1.985150,0.102038,0.198527,0.010204,10.916420,0.110817,0.051356,0.051356,947472.000000,533819.000000,-0.046715
301.488007,0.100006,2.044936,2.038411,0.163228,0.203854,0.016324,11.114947,0.100612,0.079905,0.079905,947472.000000,533819.000000,-0.046968
301.588013,0.099976,2.049632,2.042578,0.169907,0.204208,0.016987,11.318801,0.084288,0.082992,0.082992,947472.000000,533819.000000,-0.047127
301.687988,0.100006,2.008668,2.003538,0.143456,0.200366,0.014347,11.523009,0.067302,0.071479,0.071479,947472.000000,533819.000000,-0.047241
301.787994,0.100006,2.083412,2.081925,0.078687,0.208205,0.007869,11.723375,0.052955,0.037778,0.037778,947472.000000,533819.000000,-0.047383
301.888000,0.101013,2.006864,2.004669,0.093829,0.202498,0.009478,11.931581,0.045086,0.046771,0.046771,947472.000000,533820.000000,-0.047549
301.989014,0.099976,2.087606,2.084752,0.109128,0.208424,0.010910,12.134079,0.035608,0.052298,0.052298,947473.000000,533820.000000,-0.047693
302.088989,0.098999,2.029595,2.024962,0.137066,0.200469,0.013569,12.342504,0.024698,0.067585,0.067585,947473.000000,533820.000000,-0.047779
302.187988,0.100006,2.026679,2.019593,0.169325,0.201972,0.016934,12.542973,0.011129,0.083645,0.083645,947473.000000,533820.000000,-0.047859
302.287994,0.100006,2.020386,2.020375,0.006622,0.202050,0.000662,12.744945,-0.005805,0.003278,0.003278,947473.000000,533820.000000,-0.048044
302.388000,0.101013,2.077919,2.070397,-0.176635,0.209137,-0.017842,12.946995,-0.006467,6.198077,6.198077,947473.000000,533820.000000,-0.048253
302.489014,0.098999,2.088017,2.076993,0.214282,0.205620,0.021214,13.156132,0.011375,0.102806,0.102806,947474.000000,533820.000000,-0.048367
302.588013,0.099976,2.037204,2.036924,-0.033727,0.203643,-0.003372,13.361752,-0.009838,6.266629,6.266629,947474.000000,533820.000000,-0.048422
302.687988,0.100006,2.080790,2.079512,0.072925,0.207964,0.007293,13.565394,-0.006467,0.035054,0.035054,947474.000000,533820.000000,-0.048555
302.787994,0.100006,2.040919,2.040213,0.053684,0.204034,0.005369,13.773358,-0.013760,0.026307,0.026307,947474.000000,533820.000000,-0.048681
302.888000,0.100006,2.104843,2.103456,0.076398,0.210358,0.007640,13.977392,-0.019128,0.036304,0.036304,947474.000000,533820.000000,-0.048761
302.988007,0.100006,2.065728,2.065425,0.035357,0.206555,0.003536,14.187751,-0.026769,0.017117,0.017117,947475.000000,533821.000000,-0.048816
